	Business_id	Cool	Funny	Review_Ratings	Text	Useful
0	1Ds8V2c7LlwSAA3O-9f4cA	0	0	1	"Stopped by the drive through to get lunch for me and the hubby. 

First off, the girl on the speaker was super hard to understand. Not because of the speaker, but because of her accent. If you're going to put someone on drive through orders, make sure the people in line can decipher what they're saying.

Second, this place has two drive through lanes. Everyone knows it's supposed to go one lane at a time for ordering. The lane next to me had three cars go through before my order even got taken. 

Third, my order got punched in wrong. When I got to the window to pay, the girl read off my order AS SHE SWIPED MY CARD. So basically I'm stuck with whatever they want to give me at that point. I ordered a nugget combo meal and a chicken club combo meal. When I told the girl the sandwich was wrong (they had a quarter pounder on there), she called back to someone to have it corrected and told me they would give it to me at the next window.

I get to the window and the guy there is basically throwing my food and drinks at me. I asked him if there was a chicken sandwich in the bag and he said yes. Lesson learned - always check the bag. I open it up and find a quarter pounder with bacon - no cheese. Definitely NOT what I ordered. Not to mention that each of my drinks had three (yes, three) cups attached to each other. Maybe if the guy hadn't been throwing my food at me he would have taken the time to only give me one cup. That ought to throw their drink count off tonight.

Will not be back."	2
1	1Ds8V2c7LlwSAA3O-9f4cA	0	0	1	"Busy location - combination lock on the door - loitering problems maybe?  One bad customer service cashier made this a visit to McDonald's - just to get a cup of coffee - unpleasant.  
Minimum wage employees who seem to feel he can not check on a guy's order because he kind of looked homeless?  The bag was sitting on the counter and the poor guy wasn't given a receipt and was hesitant to take the food because he wasn't sure. I asked the cashier what the bag contained and the cashier said from 1' away that he is there and the food is here - like he can't flipping step over 2 steps to see what it is!!?!?  When I game him a ""seriously?"" look, he finally checked on it.  And finally the poor guy had his lunch!  In the mean time my coffee was all forgotten about and I had to ask for it.  
Dear Cashier - there is a reason why you are still a cashier at McDonald's  at age -'probably over 40 -   The place is renovated and cute but they need to upgrade the people that deal w customers!"	0
2	1Ds8V2c7LlwSAA3O-9f4cA	0	0	1	"All i wanted was an order of fresh (20 piece) nuggets for myself and my son. Saw the first McD's and stopped here. It took under 2 mins to order and get my food ...
Both girls window 1 (Pay Here) and window 2 (pick up here) just looked unhappy. No hello, no smile, just misery.
So then I asked the girl at window 2 if the nuggets were fresh, she looked confused so i asked again ... She said she did not know, twice. I was waiting for her to do what is usually done, ask the ppl running the line. She didn't. Instead she laughed and closed the window.
Talk about bad customer service.
I didnt get out my car just because the struggle of a carseat for my son.
I get home to cold, stale nuggets.
At least i got this location out of the way. On to the next."	0
3	jMpewaaXFr3VeadFBplF0w	0	0	1	So I've never been to Popeyes before, my cousin is always going to the one on baseline and is hooked. After seeing it so many times on her snapchat, I decided to give it a try. We prefer a #3 and four #5's, the price was reasonable. The lady says it'll be a 20 minute wait, so she parks us on the side. We wait 30minutes, and the chicken was fresh but isn't it common sense if your going to make me wait for chicken you should give me fresh frys and biscuits and mac n cheese? It was all old and dry! Chicken was good but I couldn't enjoy my whole meal. My cousin tells me it's probably just the location, at baseline they always make it fresh! We're a big family so we order a lot. On top of that, the lady forgot to give us forks, napkins, dipping sauce we asked for, and we had a missing drink! The two dr peppers we had were flat, and my other cousin ate her mac n cheese with her hands. I will give Popeyes another chance but never this one! It's probably the worst one in the valley! The thing that sucks the most is im on a strict diet and that was my cheat day, cheat day wasted! I'm not happy..	1
4	jMpewaaXFr3VeadFBplF0w	1	0	1	"If I could leave negative stars I would.
Manager was very rude because they forgot my sauces and I ask for an accommodation because they ALWAYS forget my sauce and I always have to drive all the way back because they forgot something. I asked for a pie or even a small side item. He offered me apple pie but I don't like apple things, and then a biscuit which I didn't want but took because he was rude. I called back to let him know that I did not appreciate his service. He proceeded to yell at me and was like "" What do you want $100?!"" I said no I asked for a side. He continued to yell at me and told me he was not going to argue so I asked for a corporate number. He lied and gave me a corporate number that does not exist 4 times, all different numbers that were not 10 digits. He gave me a9 digit number at first and then 3, 11 digit numbers. He lied about his store number so that I wouldn't contact you guys. I found the number online myself. He also told me it was my fault that they keep forgetting my sauces. The lady even corrected me on the name of the sauces so I know I told her. They always ask me what sauce I want at the drive through and then ALWAYS have to tell them again at the window and they still forget it every time. All I wanted was a side for driving 10 extra miles for their mistake."	0
5	jMpewaaXFr3VeadFBplF0w	2	0	1	I've visited this location a few times and although I have had good customer service, the staff always seems very disorganized and the chicken is always overcooked and dry. 3 times and the same issues occur, which is enough for me not to visit this location again.	0
6	jMpewaaXFr3VeadFBplF0w	1	0	1	Just left here and they're out of everything, how does Popeye's run out of chicken? thats like Subway running out of bread...find another location besides this one.	4
7	jMpewaaXFr3VeadFBplF0w	0	1	1	Food cold right from the start couldn't turn around because the intersection is f****** ridiculous and I quite honestly don't even want to eat my meal horrible I'm pissed off	2
8	jMpewaaXFr3VeadFBplF0w	1	0	1	Broke ass equipment in the drive through with no notification so we sit there talking to a broken speaker. Had to repeat order four times to the retarded girl running the drive through. I checked the bag by the window and the forgot my biscuits, after telling me it was everything. Had to ask for them. Get home and they stiffed me on amount of chicken tenders. Tenders were 60% hard crusty, macaroni was mediocre and gummy, fries were basic, sweet tea was lukewarm with barely any ice. I can get the same family meal at churches for half the price, this shit meal cost me 40 bucks. Don't forget it's in a ghetto ass Plaza next to a run down food city with scummy looking people in the parking lot. Please, please avoid this utter shit location. I'll never visit a popeyes again.	2
9	jMpewaaXFr3VeadFBplF0w	0	0	1	"Slow Service=Slow Staff, girl forgot about our order, then gave us an Incorrect Order but try to make it up and also by giving us lots of incorrect chicken that we did not order!, Broken Soda Machine=No Carbonated Soft Drinks, No Air Flow, Lots of irate Customers, 45 minute wait for take-out, and last but not least, Soggy ""fresh"" fries....


that about sums it up."	2
10	jMpewaaXFr3VeadFBplF0w	0	1	1	"If it was possible to give a restaurant negative stars this place would get -5! The employees are always talking and make you wait 20+ minutes to take your order, and their debit/credit machine is always ""broken"" DO NOT EAT HERE!"	0
11	jMpewaaXFr3VeadFBplF0w	1	4	1	Giving one star is too much when they really should be getting 0 stars. My coworker and I were just there, and we were waiting in the drive-thru for 25min. Making us late for work. We ended up leaving, and luckily there were no cars behind us or we would of waiting longer. Thanks for making us late for work. We were trying to call their number while we were waiting, and of course nobody would pick up the phone.	3
12	jMpewaaXFr3VeadFBplF0w	1	1	1	Wow this place is gross. Maybe the food might be ok but this is the worst services. The inside was super messy and they were so uncoordinated. People have been waiting for over 30mins to get out food and the staff doesn't knw what order was next and who had what. Just horrible!!!!!!!	2
13	jMpewaaXFr3VeadFBplF0w	0	3	1	I love Popeyes. Just not this one. Came in ordered 2 kids meals my 3 pice meal and popcorn shrimp for my lady. 3 min later all but the shrimp are ready. We eat and almost done when they bring the so call shrimp. All that wait for this see the photo. Not to mention we asked for the shrimp and the cashier said its almost out. But did not check, the shrimp had been sitting in the warmer for about 2 min before he got it. And told us the shrimp is ready. He did apologize for the wait but still wifey had to eat all by herself.	3
14	jMpewaaXFr3VeadFBplF0w	0	0	1	This place is terrible, this is the second time I've come here to order chicken and they are out of chicken.... what!? The girl at the drive through was rude and offered no solution. Don't waste your time going there.	0
