	Business_id	Cool	Funny	Review_Ratings	Text	Useful
0	_4Gpn_NIM94D9OFucgfaJQ	0	0	4	Great food, great atmosphere a bit crowded but i guess its so good every1 wants in haha good quality food, nice & delicious cocktails	0
1	_4Gpn_NIM94D9OFucgfaJQ	0	0	5	"Been coming here since they opened. Unfortunately, only once a year. 
Friday 8/26/16 I went for all the great reasons  one goes here for......
I ordered the the great ahi tuna tostada-y appetizer.  About two bites in I noticed a long black hair. Ugh...
The response and actions by the staff and manager was remarkable.  We all have miserable things happen at work and this is probably their biggest nightmare. 
Congrats O club personnel, you and your restaurant still rank as one of the best!

Looking forward to next year ..."	1
2	_4Gpn_NIM94D9OFucgfaJQ	0	0	5	"How amazing was this place!!! So happy we got to go! A seafood tower and three lemon drops later I could easily say this is one of the best restaurants I have ever been too! 

Our waitress Sarah was amazing!  She was so attentive and answered every question I asked her about the menu! She also served me my food! We couldn't believe how awesome this place was! 

Live music at the bar! 

Can't wait to go again! Oh ps they called me this morning to thank me for dining with them! So cool!"	1
3	_4Gpn_NIM94D9OFucgfaJQ	0	0	5	We have enjoyed Mastros in the past, but this was our first time to the Oceans Club. We had the most amazing server. Eric Kelly, really helped create an amazing meal for my husband and me. He is very professional, knowledgable, friendly, and knows good food! I told him that I loved seafood and he helped us pick out the  perfect oysters, sashimi appetizer, and perfect preparation for my tuna. My husband, who is more of a meat lover even liked the sashimi! The food at the Oceans Club is exquisite, but when that is complimented with great service, it becomes such a more memorable experience. Thanks for the great experience Eric! We plan on going back the next time we are in Scottsdale!	0
4	_4Gpn_NIM94D9OFucgfaJQ	0	0	5	Amazing food, service and great atmosphere.  The steak is done right and don't forget to order a lemon drop that comes out smoking and bubbling from dry ice in it and the butter cake is a must	0
5	_4Gpn_NIM94D9OFucgfaJQ	0	0	5	Terrific service and delicious food! Our waiter was ahead of us at every step and his helpers were always there to assist.	0
6	_4Gpn_NIM94D9OFucgfaJQ	0	0	5	Very accommodating. Had a ton of family in town, staff handled it with ease. Consistent with their food and service. Always a great night.	0
7	_4Gpn_NIM94D9OFucgfaJQ	0	0	5	This was everything I had hoped and more, amazing seafood cocktail tower appetizer, the best steak I've had in a year, and the Mac and Cheese was melt in your mouth delicious! Would go back anytime, amazing service too!!	0
8	_4Gpn_NIM94D9OFucgfaJQ	0	0	4	"I usually go to City Hall but wanted to try Ocean Club. The food and service was outstanding as expected from a Mastro's restaurant. My guests also enjoyed their dinners and dessert (can't forget the warm butter cake- if only for the fresh whipped cream!) The food was cooked perfectly, the dishes came out together and everything was enjoyable. Love the lobster mashed potatoes.

Great location but a little harder to park- Valet, it is easier."	0
9	_4Gpn_NIM94D9OFucgfaJQ	3	0	5	"This place was poppin!  Right when we came in, the host and hostesses were ready to help out.  You could hear chatter from every corner since everyone was enjoying their dinner experience.  So it may be a little difficult to hear and converse with alongside the live band.  Being a little early we started with their house Cabernet at the bar.  The wall was covered with a variety of bottles of every ETOH imaginable seemed like.  

So what was devoured over dinner?
Bread basket with a creamy yummy butter
Appetizer:  Seared Ahi Tuna - a nice starter before the main course, they have a wide selection of appetizers to choose from.
Entree:  Seared Chilean Sea Bass - excellent!  The outside had a little bit of crisp and crunch while the inside was perfectly moist and tender and flavorful.  I would definitely eat this again!  This can also be ordered blackened or ""bread crumb"" style.
Side:  Sautéed asparagus - I only ate the top part, as the stem part of the asparagus was not as easy to chew.  Nonetheless, tasty! 
Dessert:  Mastro's Signature Warm Butter Cake - so delightful and buttery melt-in-your-mouth experience.  It was topped with vanilla ice cream and drizzled with a strawberry syrup or similar and garnished with fresh strawberries.  It also came with a separate bowl of vanilla whipped mascarpone cream.  This can be shared between 2 to 4 people easily.  Coffee (pretty large cup in size) was also enjoyed with this dessert. 

Service was on point:  clean, attentive, knowledgable, friendly
Music:  live band, live singers, in tune, up-to-date music, great performance and easy on the ears
Overall a classy experience!"	1
10	_4Gpn_NIM94D9OFucgfaJQ	0	0	5	The best food, service, and atmosphere of anyplace we've been! Our server was exceptional and even brought us butter cake on the house.	0
